
Count Name                                                                     
    3 src/features/sante/forms/HospitalForm.tsx                                
    3 src/features/sante/forms/DoctorForm.tsx                                  
    3 src/features/service/components/ServiceMap.tsx                           
    3 src/features/transport/components/detail/TransportHero.tsx               
    3 src/features/service/sheets/CreateServiceSheet.tsx                       
    3 src/features/restauration/forms/RestaurantForm.tsx                       
    3 src/features/restauration/forms/ReservationForm.tsx                      
    3 src/features/restauration/pages/RestaurationChefPage.tsx                 
    3 src/features/sante/components/DoctorAIAssistant.tsx                      
    3 src/features/restauration/tracking/MapboxProvider.ts                     
    3 src/features/auth/components/ForgotPassword.tsx                          
    3 src/features/transport/tracking/MapboxProvider.ts                        
    3 src/features/voyages/sheets/VoyageBookingSheet.tsx                       
    3 src/home/components/OpportunityCard.tsx                                  
    3 src/home/components/NearbyCard.tsx                                       
    3 src/features/transport/components/TransportCard.tsx                      
    3 src/features/transport/components/tracking/SpeedIndicator.tsx            
    3 src/features/transport/create/CreateTowTruckForm.tsx                     
    3 src/features/transport/tracking/LiveLocationTracker.ts                   
    3 src/features/transport/create/CreateTruckForm.tsx                        
    3 src/features/messages/calls/components/CallControls.tsx                  
    3 src/features/community/components/CommunityShare.tsx                     
    3 src/features/community/components/CreatePost/CreatePostSheet.tsx         
    3 src/features/immo/components/MortgageSheet.tsx                           
    3 src/features/marketplace/components/ProductCoupons.tsx                   
    3 src/features/hebergement/sheets/EditAccommodationSheet.tsx               
    3 src/features/events/components/EventShare.tsx                            
    3 src/features/marketplace/components/CouponCarousel.tsx                   
    3 src/features/messages/chat/components/MessageStatus.tsx                  
    3 src/features/marketplace/components/InvoiceViewer.tsx                    
    3 src/features/messages/readReceipts/components/ReadReceipt.tsx            
    3 src/features/marketplace/components/SellerCard.tsx                       
    3 src/features/events/components/EventActions.tsx                          
    3 src/features/messages/shared/components/EmptyState.tsx                   
    3 src/features/marketplace/components/ProductShare.tsx                     
    3 src/features/job/actions.ts                                              
    3 src/features/job/components/JobCard.tsx                                  
    3 src/features/community/sheets/GroupSheet.tsx                             
    3 src/features/immo/components/PropertyShare.tsx                           
    3 src/features/messages/notifications/components/MessageNotification.tsx   
    3 src/features/immo/components/PropertyMap.tsx                             
    3 src/features/immo/components/PropertyCard.tsx                            
    3 src/features/messages/ai/components/TranslationPanel.tsx                 
    3 src/features/messages/shared/components/ErrorState.tsx                   
    3 src/features/messages/shared/components/UserAvatar.tsx                   
    3 src/features/community/sheets/ShareSheet.tsx                             
    2 src/features/events/create/shared/TagsInput.tsx                          
